title,slug,published,subtitle,canonicalUrl,publishedAt,createdAt,updatedAt,cover_image_url,categories_json,file
What is a blockchain and what it isn't,what-is-a-blockchain-and-what-it-isn-t,True,,,1712069380000,1712069380000,1712069380000,https://storage.googleapis.com/papyrus_images/df88d9632148c6d9941159342fdc3ea06c5c92a9633c975feb4ab5290802ade3.jpg,[],what-is-a-blockchain-and-what-it-isn-t.html
The Blockchain in Action: Usecase & Value Prop,the-blockchain-in-action-usecase-value-prop,True,,,1712069324000,1712069324000,1712069324000,https://storage.googleapis.com/papyrus_images/42f1e9401e5bba6756c1de9fff01a58d45384b7c4fa498b2374c6e259ab212a6.jpg,[],the-blockchain-in-action-usecase-value-prop.html
Thumbs Up or Thumbs DAO-n on Decentralized Autonomous Organizations?,thumbs-up-or-thumbs-dao-n-on-decentralized-autonomous-organizations,True,,,1709668440000,1709668440000,1709668440000,https://storage.googleapis.com/papyrus_images/66ada67b4544d1de68ad36485ffd6198c9ef8005440158c764e59aa8505f9f2a.jpg,[],thumbs-up-or-thumbs-dao-n-on-decentralized-autonomous-organizations.html
From Delphi to Decentralization: The Evolution of Oracles in Web3,from-delphi-to-decentralization-the-evolution-of-oracles-in-web3,True,,,1706199868000,1706199868000,1706199868000,https://storage.googleapis.com/papyrus_images/23c72d3b3362e77699638711fd90d9a731d5f370bd0e4ccc62497c31c9da1281.png,[],from-delphi-to-decentralization-the-evolution-of-oracles-in-web3.html
NFTs: Funge Around & Find Out (Part II - Finding Out),nfts-funge-around-find-out-part-ii-finding-out,True,,,1701879437000,1701879437000,1701879437000,https://storage.googleapis.com/papyrus_images/437cafa78c4a2c761f194526ceaaed8fce870b43330578c9459514ce2f43b939.png,[],nfts-funge-around-find-out-part-ii-finding-out.html
NFTs: Funge Around & Find Out (Part I - Funging Around),nfts-funge-around-find-out-part-i-funging-around,True,,,1701878666000,1701878666000,1701878666000,https://storage.googleapis.com/papyrus_images/61281e933c7779fea3b56cff130031f7da1bf9d8dd98cf35f597089a71251224.png,[],nfts-funge-around-find-out-part-i-funging-around.html
Real World Asset Tokenization: A Deeper Dive,real-world-asset-tokenization-a-deeper-dive,True,,,1696872495000,1696872495000,1696872495000,https://storage.googleapis.com/papyrus_images/60b1d161f59756af8e50f147a63d938f058c63f9d1f0cb0ff21c3432f3eb9888.png,[],real-world-asset-tokenization-a-deeper-dive.html
Tokenization: Web3’s Transformation of Ownership,tokenization-web3-s-transformation-of-ownership,True,,,1694181168000,1694181168000,1694181168000,https://storage.googleapis.com/papyrus_images/c5da8faab603636bb480ff41756447b344ca697f2a3e6852ecb31f43523b6ec6.png,[],tokenization-web3-s-transformation-of-ownership.html
Tokenization Reality Check: Where It’s At And What Holds It Back,tokenization-reality-check-where-it-s-at-and-what-holds-it-back,True,,,1694181086000,1694181086000,1694181086000,,[],tokenization-reality-check-where-it-s-at-and-what-holds-it-back.html
Smart Contracts 101,smart-contracts-101,True,,,1691434473000,1691434473000,1691434473000,https://storage.googleapis.com/papyrus_images/b8f6f829833b7f75c4b30f4a839544402cc276c8c3f4dfc62ec844f6b7dbbca3.png,[],smart-contracts-101.html
Smart Contract Enforcement & Legality ,smart-contract-enforcement-legality,True,,,1691431703000,1691431703000,1691431703000,https://storage.googleapis.com/papyrus_images/9ecbd1de9b3896804776953f2074868444078552cf177989945359c4db3eac4a.png,[],smart-contract-enforcement-legality.html
The True Cost of a Sh!tcoin,the-true-cost-of-a-sh-tcoin,True,,,1687241806000,1687241806000,1687241806000,https://storage.googleapis.com/papyrus_images/65610d2e55ec08b3784a1238a0a032c20b216292a95b8c7ce2da78807cbcf05a.png,[],the-true-cost-of-a-sh-tcoin.html
Crypto: Trade in the NFT sweatshirt for a button down,crypto-trade-in-the-nft-sweatshirt-for-a-button-down,True,,,1684259365000,1684259365000,1684259365000,https://storage.googleapis.com/papyrus_images/2a3537eaf5d6718bbd3c4b1c2fe862ed376c09536383964862b293db2709fac6.png,[],crypto-trade-in-the-nft-sweatshirt-for-a-button-down.html
"Why ""Crypto"" Can’t Have a One Size Fits All Value Proposition
",why-crypto-can-t-have-a-one-size-fits-all-value-proposition,True,,,1680679470000,1680679470000,1680679470000,https://storage.googleapis.com/papyrus_images/3b826428ad28742045d780f5740dc99e26995b025bc980fcee65bc9f567ffd1e.png,[],why-crypto-can-t-have-a-one-size-fits-all-value-proposition.html
Participate to Earn: Pay no attention to the man behind the curtain...,participate-to-earn-pay-no-attention-to-the-man-behind-the-curtain,True,,,1671086214000,1671086214000,1671086214000,https://storage.googleapis.com/papyrus_images/5c143971d13d9c3a51dcf351cd75ff960ec8649a9ce5888e93222526a6ac2bc8.png,[],participate-to-earn-pay-no-attention-to-the-man-behind-the-curtain.html
Marketing in the metaverse: unlocking the power of 3D,marketing-in-the-metaverse-unlocking-the-power-of-3d,True,,,1667841296000,1667841296000,1667841296000,https://storage.googleapis.com/papyrus_images/10d0477e759ac8bb54bfaff0a222dffe703b1854e57d7db8374a5c76dace6516.jpg,[],marketing-in-the-metaverse-unlocking-the-power-of-3d.html
Reframing the metaverse: what the word actually means for web3 ,reframing-the-metaverse-what-the-word-actually-means-for-web3,True,,,1667592677000,1667592677000,1667592677000,https://storage.googleapis.com/papyrus_images/c4b79b9326d5b1f216b20c2e90603e31cfa2980109dd825c15e1ab5a26f3775c.jpg,[],reframing-the-metaverse-what-the-word-actually-means-for-web3.html
Exploring the utility of the metaverse,exploring-the-utility-of-the-metaverse,True,,,1662699254000,1662699254000,1662699254000,https://storage.googleapis.com/papyrus_images/53cdda1f6a284cf3bb736e6a5340e861eff8edd4bba2f59aa293a86394de4b3f.jpg,[],exploring-the-utility-of-the-metaverse.html
The metaverse has a content problem...,the-metaverse-has-a-content-problem,True,,,1659685417000,1659685417000,1659685417000,https://storage.googleapis.com/papyrus_images/f0d6105e966b8fe2576587123e7a1090a16328bbbc260c5337ca0ba6bfab8144.png,[],the-metaverse-has-a-content-problem.html
"The intersection of the metaverse and blockchain. Why these are more than buzzwords. 
",the-intersection-of-the-metaverse-and-blockchain-why-these-are-more-than-buzzwords,True,,,1657561226000,1657561226000,1657561226000,,[],the-intersection-of-the-metaverse-and-blockchain-why-these-are-more-than-buzzwords.html
